id,status,gender,current_role,kids_in_home,years_in_field,age,employment_type,salary,parental_leave_pay,parental_leave_length,country,wish_parental_leave_longer,ever_declined_promotion,ever_declined_travel,voicing_needs_difficult,have_support,equal_partnership,treated_unfairly_at_work,changed_company_balance,remote_work
111,Completed,Female,Manager,kids in home Yes,11 15 years,25-34yo,Employed full time,160-plus,other materity leave,no leave,US,Other leave,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
112,Completed,Male,Manager,kids in home Yes,11 15 years,35-44yo,Self employed,60-89k,full paid,13 16weeks,Europe,Not sure longer leave,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
113,Completed,Male,Manager,kids in home Yes,16 years more,45-54yo,Employed full time,wont-answer-salary,not paid,no leave,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,single,No unfairly treated,Yes changed companies,Partially remote
114,Completed,Female,not in field,kids in home Yes,11 15 years,35-44yo,Employed full time,160-plus,full paid,13 16weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Other network help,equal partnership,Yes unfairly treated,Yes changed companies,Partially remote
115,Completed,Male,not in field,kids in home Yes,not in the field,25-34yo,Employed full time,160-plus,full paid,6 8weeks,US,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
116,Completed,Male,data worker,kids in home Yes,less 2,45-54yo,Employed full time,120-159k,not paid,no leave,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
117,Completed,Male,data worker,kids in home Yes,2 5 years,45-54yo,Employed full time,60-89k,full paid,less 2weeks,Europe,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
118,Completed,Female,Manager,kids in home Yes,16 years more,35-44yo,Employed full time,90-119k,full paid,9 12weeks,other country,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,single,Yes unfairly treated,Yes changed companies,Fully in office
119,Completed,Female,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,160-plus,other materity leave,13 16weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully remote
120,Completed,Female,pursing work,kids in home Yes,2 5 years,45-54yo,not employed not looking,wont-answer-salary,other materity leave,6 month plus,US,Other leave,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles less,Other unfairly treated,Yes changed companies,Other workplace arrangement
121,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,60-89k,full paid,less 2weeks,Europe,Yes wish longer,Other declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,Other changed companies,Partially remote
122,Completed,Female,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,90-119k,full paid,9 12weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
123,Completed,Male,Manager,kids in home Yes,6 10 years,35-44yo,Employed full time,wont-answer-salary,not paid,no leave,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully remote
124,Completed,Male,data worker,kids in home Yes,16 years more,45-54yo,Employed full time,120-159k,not paid,less 2weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,Yes changed companies,Fully in office
125,Completed,Female,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,60-89k,full paid,13 16weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
126,Completed,Male,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,90-119k,other materity leave,6 month plus,Europe,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
127,Completed,Female,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,60-89k,not paid,13 16weeks,US,Not sure longer leave,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
128,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,120-159k,full paid,3 5weeks,US,Not sure longer leave,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully remote
129,Completed,Female,Manager,kids in home Yes,6 10 years,35-44yo,Employed full time,160-plus,full paid,17 weeks 6 months,Europe,Not sure longer leave,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
